"TIME","GEO","AGE","UNIT","SEX","Value","Flag and Footnotes"
"2006","Germany (until 1990 former territory of the FRG)","Total","Thousand persons","Total","4104",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Thousand persons","Total","3473",""
"2008","Germany (until 1990 former territory of the FRG)","Total","Thousand persons","Total","3018",""
"2009","Germany (until 1990 former territory of the FRG)","Total","Thousand persons","Total","3098",""
"2010","Germany (until 1990 former territory of the FRG)","Total","Thousand persons","Total","2821",""
"2011","Germany (until 1990 former territory of the FRG)","Total","Thousand persons","Total","2399",""
"2012","Germany (until 1990 former territory of the FRG)","Total","Thousand persons","Total","2224",""
"2013","Germany (until 1990 former territory of the FRG)","Total","Thousand persons","Total","2182",""
"2014","Germany (until 1990 former territory of the FRG)","Total","Thousand persons","Total","2090",""
"2015","Germany (until 1990 former territory of the FRG)","Total","Thousand persons","Total","1950",""
"2016","Germany (until 1990 former territory of the FRG)","Total","Thousand persons","Total","1771",""
